algo,op,iter,wall_ns,cycles
rsa-7680,pss-verify,72,169011,454246
rsa-7680,pss-verify,73,169165,454660
rsa-7680,pss-verify,74,171323,460450
rsa-7680,pss-verify,75,169976,456836
rsa-7680,pss-verify,76,170375,457914
rsa-7680,pss-verify,77,169969,456820
rsa-7680,pss-verify,78,169020,454272
rsa-7680,pss-verify,79,170456,458132
rsa-7680,pss-verify,80,170802,459054
rsa-7680,pss-verify,81,169652,455960
rsa-7680,pss-verify,82,169375,455224
rsa-7680,pss-verify,83,168855,453822
rsa-7680,pss-verify,84,169449,455420
rsa-7680,pss-verify,85,169378,455232
rsa-7680,pss-verify,86,170846,459174
rsa-7680,pss-verify,87,169785,456326
rsa-7680,pss-verify,88,168864,453850
rsa-7680,pss-verify,89,169474,455490
rsa-7680,pss-verify,90,169408,455312
rsa-7680,pss-verify,91,170025,456966
rsa-7680,pss-verify,92,171812,461768
rsa-7680,pss-verify,93,169149,454618
rsa-7680,pss-verify,94,168987,454178
rsa-7680,pss-verify,95,170397,457968
rsa-7680,pss-verify,96,170035,457002
rsa-7680,pss-verify,97,170615,458556
rsa-7680,pss-verify,98,169266,454928
rsa-7680,pss-verify,99,169689,456070
rsa-7680,oaep-encrypt,0,171154,459978
rsa-7680,oaep-encrypt,1,171547,461030
rsa-7680,oaep-encrypt,2,170133,457234
rsa-7680,oaep-encrypt,3,169951,456772
rsa-7680,oaep-encrypt,4,170675,458720
rsa-7680,oaep-encrypt,5,173007,464990
rsa-7680,oaep-encrypt,6,170462,458148
rsa-7680,oaep-encrypt,7,171144,459980
rsa-7680,oaep-encrypt,8,169852,456508
rsa-7680,oaep-encrypt,9,170434,458072
rsa-7680,oaep-encrypt,10,170201,457448
rsa-7680,oaep-encrypt,11,170990,459564
rsa-7680,oaep-encrypt,12,170003,456910
rsa-7680,oaep-encrypt,13,169768,456278
rsa-7680,oaep-encrypt,14,169748,456226
rsa-7680,oaep-encrypt,15,170357,457784
rsa-7680,oaep-encrypt,16,169989,456878
rsa-7680,oaep-encrypt,17,172356,463234
rsa-7680,oaep-encrypt,18,170732,458874
rsa-7680,oaep-encrypt,19,169761,456266
rsa-7680,oaep-encrypt,20,170174,457376
rsa-7680,oaep-encrypt,21,170635,458610
rsa-7680,oaep-encrypt,22,171766,461654
rsa-7680,oaep-encrypt,23,170190,457418
rsa-7680,oaep-encrypt,24,170238,457542
rsa-7680,oaep-encrypt,25,169754,456244
rsa-7680,oaep-encrypt,26,171864,461918
rsa-7680,oaep-encrypt,27,170487,458214
rsa-7680,oaep-encrypt,28,171908,462032
rsa-7680,oaep-encrypt,29,171245,460248
rsa-7680,oaep-encrypt,30,169195,454740
rsa-7680,oaep-encrypt,31,169873,456566
rsa-7680,oaep-encrypt,32,170025,456972
rsa-7680,oaep-encrypt,33,170363,457878
rsa-7680,oaep-encrypt,34,171395,460652
rsa-7680,oaep-encrypt,35,170958,459480
rsa-7680,oaep-encrypt,36,169640,455940
rsa-7680,oaep-encrypt,37,169185,454716
rsa-7680,oaep-encrypt,38,169845,456488
rsa-7680,oaep-encrypt,39,170057,457058
rsa-7680,oaep-encrypt,40,171014,459632
rsa-7680,oaep-encrypt,41,170151,457310
rsa-7680,oaep-encrypt,42,171335,460496
rsa-7680,oaep-encrypt,43,170483,458202
rsa-7680,oaep-encrypt,44,170274,457642
rsa-7680,oaep-encrypt,45,170239,457550
rsa-7680,oaep-encrypt,46,171673,461398
rsa-7680,oaep-encrypt,47,170006,456920
rsa-7680,oaep-encrypt,48,169710,456098
rsa-7680,oaep-encrypt,49,170770,458978
rsa-7680,oaep-encrypt,50,170094,457156
rsa-7680,oaep-encrypt,51,169830,456452
rsa-7680,oaep-encrypt,52,171539,461044
rsa-7680,oaep-encrypt,53,171225,460192
rsa-7680,oaep-encrypt,54,170199,457440
rsa-7680,oaep-encrypt,55,170394,457966
rsa-7680,oaep-encrypt,56,170572,458446
rsa-7680,oaep-encrypt,57,170682,458738
rsa-7680,oaep-encrypt,58,170794,459036
rsa-7680,oaep-encrypt,59,169593,455814
rsa-7680,oaep-encrypt,60,170569,458438
rsa-7680,oaep-encrypt,61,170462,458148
rsa-7680,oaep-encrypt,62,171092,459844
rsa-7680,oaep-encrypt,63,171027,459662
rsa-7680,oaep-encrypt,64,171458,460828
rsa-7680,oaep-encrypt,65,169596,455816
rsa-7680,oaep-encrypt,66,169665,456004
rsa-7680,oaep-encrypt,67,170297,457702
rsa-7680,oaep-encrypt,68,170363,457874
rsa-7680,oaep-encrypt,69,170961,459488
rsa-7680,oaep-encrypt,70,170865,459234
rsa-7680,oaep-encrypt,71,169641,455940
rsa-7680,oaep-encrypt,72,169938,456738
rsa-7680,oaep-encrypt,73,170188,457414
rsa-7680,oaep-encrypt,74,170251,457582
rsa-7680,oaep-encrypt,75,172708,464180
rsa-7680,oaep-encrypt,76,170878,459266
rsa-7680,oaep-encrypt,77,172161,462714
rsa-7680,oaep-encrypt,78,170021,456960
rsa-7680,oaep-encrypt,79,169937,456736
rsa-7680,oaep-encrypt,80,171285,460328
rsa-7680,oaep-encrypt,81,172053,462418
rsa-7680,oaep-encrypt,82,172203,462824
rsa-7680,oaep-encrypt,83,170455,458128
rsa-7680,oaep-encrypt,84,171123,459924
rsa-7680,oaep-encrypt,85,170860,459212
rsa-7680,oaep-encrypt,86,169402,455270
rsa-7680,oaep-encrypt,87,172240,462930
rsa-7680,oaep-encrypt,88,171292,460382
rsa-7680,oaep-encrypt,89,170447,458106
rsa-7680,oaep-encrypt,90,170506,458262
rsa-7680,oaep-encrypt,91,171559,461100
rsa-7680,oaep-encrypt,92,170492,458228
rsa-7680,oaep-encrypt,93,171592,461178
rsa-7680,oaep-encrypt,94,170889,459296
rsa-7680,oaep-encrypt,95,171915,462056
rsa-7680,oaep-encrypt,96,171186,460098
rsa-7680,oaep-encrypt,97,170380,457928
rsa-7680,oaep-encrypt,98,170948,459446
rsa-7680,oaep-encrypt,99,170120,457228
rsa-7680,oaep-decrypt,0,28106829,75551050
rsa-7680,oaep-decrypt,1,27896159,74984784
rsa-7680,oaep-decrypt,2,27695107,74444378
rsa-7680,oaep-decrypt,3,27818646,74776450
rsa-7680,oaep-decrypt,4,27966110,75172832
rsa-7680,oaep-decrypt,5,27965631,75171494
rsa-7680,oaep-decrypt,6,27740723,74566996
rsa-7680,oaep-decrypt,7,27949215,75127410
rsa-7680,oaep-decrypt,8,29964536,80544578
rsa-7680,oaep-decrypt,9,27864835,74900608
rsa-7680,oaep-decrypt,10,27824793,74792976
rsa-7680,oaep-decrypt,11,27722048,74516788
rsa-7680,oaep-decrypt,12,28028366,75340168
rsa-7680,oaep-decrypt,13,28066842,75443604
rsa-7680,oaep-decrypt,14,27919432,75047362
rsa-7680,oaep-decrypt,15,27790066,74699632
rsa-7680,oaep-decrypt,16,28240652,75910794
rsa-7680,oaep-decrypt,17,27812098,74758848
rsa-7680,oaep-decrypt,18,27669878,74376564
rsa-7680,oaep-decrypt,19,28070646,75453800
rsa-7680,oaep-decrypt,20,27702935,74465416
rsa-7680,oaep-decrypt,21,27960780,75158504
rsa-7680,oaep-decrypt,22,27913226,75030680
rsa-7680,oaep-decrypt,23,27869807,74913960
rsa-7680,oaep-decrypt,24,27740011,74565080
rsa-7680,oaep-decrypt,25,27630939,74271896
rsa-7680,oaep-decrypt,26,27865922,74903526
rsa-7680,oaep-decrypt,27,27569506,74106734
rsa-7680,oaep-decrypt,28,27735515,74553004
rsa-7680,oaep-decrypt,29,27891239,74971578
rsa-7680,oaep-decrypt,30,28014390,75302594
