algo,metric,value
ecdh-P-384,keygen-cyc-median,1260452.0
ecdh-P-384,keygen-cyc-mean,1264567.1
ecdh-P-384,keygen-persec,2132.5
ecdh-P-384,derive-iters,2000
ecdh-P-384,derive-wall-median-ns,457388.0
ecdh-P-384,derive-wall-mean-ns,457998.4
ecdh-P-384,derive-wall-std-ns,3026.4
ecdh-P-384,derive-wall-p95-ns,462959.0
ecdh-P-384,derive-wall-p99-ns,468697.0
ecdh-P-384,derive-wall-ci95lo-ns,457865.7
ecdh-P-384,derive-wall-ci95hi-ns,458131.0
ecdh-P-384,derive-cyc-median,1229398.0
ecdh-P-384,derive-cyc-mean,1231038.6
ecdh-P-384,derive-persec,2186.3
ecdh-P-384,size-key-bits,384
ecdh-P-384,size-pubkey-bytes,97
ecdh-P-521,keygen-iters,200
ecdh-P-521,keygen-wall-median-ns,1104958.0
ecdh-P-521,keygen-wall-mean-ns,1107778.4
ecdh-P-521,keygen-wall-std-ns,10737.5
ecdh-P-521,keygen-wall-p95-ns,1119348.0
ecdh-P-521,keygen-wall-p99-ns,1168244.0
ecdh-P-521,keygen-wall-ci95lo-ns,1106290.3
ecdh-P-521,keygen-wall-ci95hi-ns,1109266.5
ecdh-P-521,keygen-cyc-median,2970060.0
ecdh-P-521,keygen-cyc-mean,2977637.0
ecdh-P-521,keygen-persec,905.0
ecdh-P-521,derive-iters,2000
ecdh-P-521,derive-wall-median-ns,1095056.0
ecdh-P-521,derive-wall-mean-ns,1095744.2
ecdh-P-521,derive-wall-std-ns,4351.0
ecdh-P-521,derive-wall-p95-ns,1101585.0
ecdh-P-521,derive-wall-p99-ns,1115040.0
ecdh-P-521,derive-wall-ci95lo-ns,1095553.5
ecdh-P-521,derive-wall-ci95hi-ns,1095934.9
ecdh-P-521,derive-cyc-median,2943450.0
ecdh-P-521,derive-cyc-mean,2945297.7
ecdh-P-521,derive-persec,913.2
ecdh-P-521,size-key-bits,521
ecdh-P-521,size-pubkey-bytes,133
ML-KEM-512,keygen-iters,200
ML-KEM-512,keygen-wall-median-ns,32516.0
ML-KEM-512,keygen-wall-mean-ns,33121.3
ML-KEM-512,keygen-wall-std-ns,15081.9
ML-KEM-512,keygen-wall-p95-ns,35227.0
ML-KEM-512,keygen-wall-p99-ns,41381.0
ML-KEM-512,keygen-wall-ci95lo-ns,31031.0
ML-KEM-512,keygen-wall-ci95hi-ns,35211.5
ML-KEM-512,keygen-cyc-median,87172.0
ML-KEM-512,keygen-cyc-mean,88791.3
ML-KEM-512,keygen-persec,30754.1
ML-KEM-512,encap-iters,2000
ML-KEM-512,encap-wall-median-ns,11146.0
ML-KEM-512,encap-wall-mean-ns,11248.0
ML-KEM-512,encap-wall-std-ns,699.7
ML-KEM-512,encap-wall-p95-ns,11733.0
ML-KEM-512,encap-wall-p99-ns,12745.0
ML-KEM-512,encap-wall-ci95lo-ns,11217.3
ML-KEM-512,encap-wall-ci95hi-ns,11278.6
ML-KEM-512,encap-cyc-median,29904.0
ML-KEM-512,encap-cyc-mean,30176.2
ML-KEM-512,encap-persec,89718.3
ML-KEM-512,decap-iters,2000
ML-KEM-512,decap-wall-median-ns,17149.0
ML-KEM-512,decap-wall-mean-ns,17219.5
ML-KEM-512,decap-wall-std-ns,279.6
ML-KEM-512,decap-wall-p95-ns,17881.0
ML-KEM-512,decap-wall-p99-ns,18452.0
ML-KEM-512,decap-wall-ci95lo-ns,17207.2
ML-KEM-512,decap-wall-ci95hi-ns,17231.8
ML-KEM-512,decap-cyc-median,46040.0
ML-KEM-512,decap-cyc-mean,46227.6
ML-KEM-512,decap-persec,58312.4
ML-KEM-512,size-key-bits,512
ML-KEM-512,size-pubkey-bytes,800
ML-KEM-512,size-privkey-bytes,1632
ML-KEM-512,size-ciphertext-bytes,768
ML-KEM-512,size-shared-secret-bytes,32
ML-KEM-768,keygen-iters,200
ML-KEM-768,keygen-wall-median-ns,26769.0
ML-KEM-768,keygen-wall-mean-ns,34506.0
ML-KEM-768,keygen-wall-std-ns,12738.1
ML-KEM-768,keygen-wall-p95-ns,49171.0
ML-KEM-768,keygen-wall-p99-ns,53459.0
ML-KEM-768,keygen-wall-ci95lo-ns,32740.6
ML-KEM-768,keygen-wall-ci95hi-ns,36271.4
ML-KEM-768,keygen-cyc-median,71894.0
ML-KEM-768,keygen-cyc-mean,92614.9
ML-KEM-768,keygen-persec,37356.6
ML-KEM-768,encap-iters,2000
ML-KEM-768,encap-wall-median-ns,14516.0
ML-KEM-768,encap-wall-mean-ns,14621.6
ML-KEM-768,encap-wall-std-ns,338.2
ML-KEM-768,encap-wall-p95-ns,15257.0
ML-KEM-768,encap-wall-p99-ns,16113.0
ML-KEM-768,encap-wall-ci95lo-ns,14606.8
ML-KEM-768,encap-wall-ci95hi-ns,14636.4
ML-KEM-768,encap-cyc-median,38962.0
ML-KEM-768,encap-cyc-mean,39245.2
ML-KEM-768,encap-persec,68889.5
ML-KEM-768,decap-iters,2000
ML-KEM-768,decap-wall-median-ns,22819.0
ML-KEM-768,decap-wall-mean-ns,23195.3
ML-KEM-768,decap-wall-std-ns,1166.5
ML-KEM-768,decap-wall-p95-ns,24013.0
ML-KEM-768,decap-wall-p99-ns,25642.0
ML-KEM-768,decap-wall-ci95lo-ns,23144.2
ML-KEM-768,decap-wall-ci95hi-ns,23246.4
ML-KEM-768,decap-cyc-median,61282.0
ML-KEM-768,decap-cyc-mean,62290.7
ML-KEM-768,decap-persec,43823.1
ML-KEM-768,size-key-bits,768
ML-KEM-768,size-pubkey-bytes,1184
ML-KEM-768,size-privkey-bytes,2400
ML-KEM-768,size-ciphertext-bytes,1088
ML-KEM-768,size-shared-secret-bytes,32
ML-KEM-1024,keygen-iters,200
ML-KEM-1024,keygen-wall-median-ns,40071.0
ML-KEM-1024,keygen-wall-mean-ns,47835.4
ML-KEM-1024,keygen-wall-std-ns,15552.5
ML-KEM-1024,keygen-wall-p95-ns,72686.0
ML-KEM-1024,keygen-wall-p99-ns,77503.0
ML-KEM-1024,keygen-wall-ci95lo-ns,45680.0
ML-KEM-1024,keygen-wall-ci95hi-ns,49990.9
ML-KEM-1024,keygen-cyc-median,107656.0
ML-KEM-1024,keygen-cyc-mean,128478.9
ML-KEM-1024,keygen-persec,24955.7
ML-KEM-1024,encap-iters,2000
ML-KEM-1024,encap-wall-median-ns,19319.0
ML-KEM-1024,encap-wall-mean-ns,19512.6
ML-KEM-1024,encap-wall-std-ns,1044.6
ML-KEM-1024,encap-wall-p95-ns,20373.0
ML-KEM-1024,encap-wall-p99-ns,21280.0
ML-KEM-1024,encap-wall-ci95lo-ns,19466.8
ML-KEM-1024,encap-wall-ci95hi-ns,19558.4
ML-KEM-1024,encap-cyc-median,51852.0
ML-KEM-1024,encap-cyc-mean,52371.2
ML-KEM-1024,encap-persec,51762.5
ML-KEM-1024,decap-iters,2000
ML-KEM-1024,decap-wall-median-ns,31377.0
ML-KEM-1024,decap-wall-mean-ns,31004.1
ML-KEM-1024,decap-wall-std-ns,1084.4
ML-KEM-1024,decap-wall-p95-ns,31849.0
ML-KEM-1024,decap-wall-p99-ns,33716.0
ML-KEM-1024,decap-wall-ci95lo-ns,30956.5
ML-KEM-1024,decap-wall-ci95hi-ns,31051.6
ML-KEM-1024,decap-cyc-median,84262.0
ML-KEM-1024,decap-cyc-mean,83253.5
ML-KEM-1024,decap-persec,31870.5
ML-KEM-1024,size-key-bits,1024
ML-KEM-1024,size-pubkey-bytes,1568
ML-KEM-1024,size-privkey-bytes,3168
ML-KEM-1024,size-ciphertext-bytes,1568
ML-KEM-1024,size-shared-secret-bytes,32
ML-DSA-44,keygen-iters,200
ML-DSA-44,keygen-wall-median-ns,70229.0
ML-DSA-44,keygen-wall-mean-ns,71103.4
ML-DSA-44,keygen-wall-std-ns,1934.2
ML-DSA-44,keygen-wall-p95-ns,73916.0
ML-DSA-44,keygen-wall-p99-ns,76472.0
ML-DSA-44,keygen-wall-ci95lo-ns,70835.4
ML-DSA-44,keygen-wall-ci95hi-ns,71371.5
ML-DSA-44,keygen-cyc-median,188706.0
ML-DSA-44,keygen-cyc-mean,191048.9
ML-DSA-44,keygen-persec,14239.1
ML-DSA-44,sign-iters,2000
ML-DSA-44,sign-wall-median-ns,284957.0
ML-DSA-44,sign-wall-mean-ns,373972.0
ML-DSA-44,sign-wall-std-ns,257995.6
ML-DSA-44,sign-wall-p95-ns,897472.0
ML-DSA-44,sign-wall-p99-ns,1240855.0
ML-DSA-44,sign-wall-ci95lo-ns,362664.9
ML-DSA-44,sign-wall-ci95hi-ns,385279.2
ML-DSA-44,sign-cyc-median,765906.0
ML-DSA-44,sign-cyc-mean,1005169.7
ML-DSA-44,sign-persec,3509.3
ML-DSA-44,verify-iters,2000
ML-DSA-44,verify-wall-median-ns,75938.0
ML-DSA-44,verify-wall-mean-ns,76060.7
ML-DSA-44,verify-wall-std-ns,1022.0
ML-DSA-44,verify-wall-p95-ns,77242.0
ML-DSA-44,verify-wall-p99-ns,78911.0
ML-DSA-44,verify-wall-ci95lo-ns,76015.9
ML-DSA-44,verify-wall-ci95hi-ns,76105.5
ML-DSA-44,verify-cyc-median,204054.0
ML-DSA-44,verify-cyc-mean,204385.8
ML-DSA-44,verify-persec,13168.6
ML-DSA-44,size-key-bits,10496
ML-DSA-44,size-pubkey-bytes,1312
ML-DSA-44,size-privkey-bytes,2560
ML-DSA-44,size-signature-bytes,2420
ML-DSA-65,keygen-iters,200
