algo,metric,value
ecdh-P-521,derive-wall-ci95hi-ns,10325248.8
ecdh-P-521,derive-cyc-median,557411.0
ecdh-P-521,derive-cyc-mean,557490.1
ecdh-P-521,derive-persec,96.9
ecdh-P-521,size-key-bits,521
ecdh-P-521,size-pubkey-bytes,133
ML-KEM-512,keygen-iters,1000
ML-KEM-512,keygen-wall-median-ns,103833.0
ML-KEM-512,keygen-wall-mean-ns,104495.3
ML-KEM-512,keygen-wall-std-ns,5493.9
ML-KEM-512,keygen-wall-p95-ns,105537.0
ML-KEM-512,keygen-wall-p99-ns,116333.0
ML-KEM-512,keygen-wall-ci95lo-ns,104154.8
ML-KEM-512,keygen-wall-ci95hi-ns,104835.8
ML-KEM-512,keygen-cyc-median,5601.0
ML-KEM-512,keygen-cyc-mean,5637.0
ML-KEM-512,keygen-persec,9630.8
ML-KEM-512,encap-iters,2000
ML-KEM-512,encap-wall-median-ns,64351.0
ML-KEM-512,encap-wall-mean-ns,64702.9
ML-KEM-512,encap-wall-std-ns,4784.3
ML-KEM-512,encap-wall-p95-ns,64593.0
ML-KEM-512,encap-wall-p99-ns,74148.0
ML-KEM-512,encap-wall-ci95lo-ns,64493.2
ML-KEM-512,encap-wall-ci95hi-ns,64912.6
ML-KEM-512,encap-cyc-median,3469.0
ML-KEM-512,encap-cyc-mean,3488.4
ML-KEM-512,encap-persec,15539.8
ML-KEM-512,decap-iters,2000
ML-KEM-512,decap-wall-median-ns,92240.0
ML-KEM-512,decap-wall-mean-ns,95185.8
ML-KEM-512,decap-wall-std-ns,16427.3
ML-KEM-512,decap-wall-p95-ns,101704.0
ML-KEM-512,decap-wall-p99-ns,180019.0
ML-KEM-512,decap-wall-ci95lo-ns,94465.9
ML-KEM-512,decap-wall-ci95hi-ns,95905.8
ML-KEM-512,decap-cyc-median,4977.0
ML-KEM-512,decap-cyc-mean,5135.7
ML-KEM-512,decap-persec,10841.3
ML-KEM-512,size-key-bits,512
ML-KEM-512,size-pubkey-bytes,800
ML-KEM-512,size-privkey-bytes,1632
ML-KEM-512,size-ciphertext-bytes,768
ML-KEM-512,size-shared-secret-bytes,32
ML-KEM-768,keygen-iters,1000
ML-KEM-768,keygen-wall-median-ns,152481.0
ML-KEM-768,keygen-wall-mean-ns,153098.1
ML-KEM-768,keygen-wall-std-ns,3471.0
ML-KEM-768,keygen-wall-p95-ns,154833.0
ML-KEM-768,keygen-wall-p99-ns,164111.0
ML-KEM-768,keygen-wall-ci95lo-ns,152883.0
ML-KEM-768,keygen-wall-ci95hi-ns,153313.3
ML-KEM-768,keygen-cyc-median,8226.0
ML-KEM-768,keygen-cyc-mean,8260.1
ML-KEM-768,keygen-persec,6558.2
ML-KEM-768,encap-iters,2000
ML-KEM-768,encap-wall-median-ns,84500.0
ML-KEM-768,encap-wall-mean-ns,84769.4
ML-KEM-768,encap-wall-std-ns,1646.1
ML-KEM-768,encap-wall-p95-ns,85074.0
ML-KEM-768,encap-wall-p99-ns,94093.0
ML-KEM-768,encap-wall-ci95lo-ns,84697.3
ML-KEM-768,encap-wall-ci95hi-ns,84841.6
ML-KEM-768,encap-cyc-median,4558.0
ML-KEM-768,encap-cyc-mean,4572.1
ML-KEM-768,encap-persec,11834.3
ML-KEM-768,decap-iters,2000
ML-KEM-768,decap-wall-median-ns,126889.0
